UID          PID    PPID  C STIME TTY          TIME CMD
root           1       0  0 15:35 ?        00:00:02 /sbin/init splash
root           2       0  0 15:35 ?        00:00:00 [kthreadd]
root           3       2  0 15:35 ?        00:00:00 [pool_workqueue_release]
root           4       2  0 15:35 ?        00:00:00 [kworker/R-rcu_g]
root           5       2  0 15:35 ?        00:00:00 [kworker/R-rcu_p]
root           6       2  0 15:35 ?        00:00:00 [kworker/R-slub_]
root           7       2  0 15:35 ?        00:00:00 [kworker/R-netns]
root           8       2  0 15:35 ?        00:00:01 [kworker/0:0-cgroup_destroy]
root          11       2  0 15:35 ?        00:00:00 [kworker/u2:0-ext4-rsv-conversion]
root          12       2  0 15:35 ?        00:00:00 [kworker/R-mm_pe]
root          13       2  0 15:35 ?        00:00:00 [rcu_tasks_kthread]
root          14       2  0 15:35 ?        00:00:00 [rcu_tasks_rude_kthread]
root          15       2  0 15:35 ?        00:00:00 [rcu_tasks_trace_kthread]
root          16       2  0 15:35 ?        00:00:00 [ksoftirqd/0]
root          17       2  0 15:35 ?        00:00:00 [rcu_preempt]
root          18       2  0 15:35 ?        00:00:00 [migration/0]
root          19       2  0 15:35 ?        00:00:00 [idle_inject/0]
root          20       2  0 15:35 ?        00:00:00 [cpuhp/0]
root          21       2  0 15:35 ?        00:00:00 [kdevtmpfs]
root          22       2  0 15:35 ?        00:00:00 [kworker/R-inet_]
root          23       2  0 15:35 ?        00:00:00 [kworker/u2:1-events_unbound]
root          24       2  0 15:35 ?        00:00:00 [kauditd]
root          25       2  0 15:35 ?        00:00:00 [khungtaskd]
root          26       2  0 15:35 ?        00:00:00 [oom_reaper]
root          27       2  0 15:35 ?        00:00:00 [kworker/R-write]
root          28       2  0 15:35 ?        00:00:00 [kworker/u2:2-events_unbound]
root          29       2  0 15:35 ?        00:00:00 [kcompactd0]
root          30       2  0 15:35 ?        00:00:00 [ksmd]
root          31       2  0 15:35 ?        00:00:00 [khugepaged]
root          32       2  0 15:35 ?        00:00:00 [kworker/R-kinte]
root          33       2  0 15:35 ?        00:00:00 [kworker/R-kbloc]
root          34       2  0 15:35 ?        00:00:00 [kworker/R-blkcg]
root          35       2  0 15:35 ?        00:00:00 [irq/9-acpi]
root          36       2  0 15:35 ?        00:00:00 [kworker/R-tpm_d]
root          37       2  0 15:35 ?        00:00:00 [kworker/R-ata_s]
root          38       2  0 15:35 ?        00:00:00 [kworker/R-md]
root          39       2  0 15:35 ?        00:00:00 [kworker/R-md_bi]
root          40       2  0 15:35 ?        00:00:00 [kworker/R-edac-]
root          41       2  0 15:35 ?        00:00:00 [kworker/R-devfr]
root          42       2  0 15:35 ?        00:00:00 [watchdogd]
root          43       2  0 15:35 ?        00:00:00 [kworker/0:1H-kblockd]
root          44       2  0 15:35 ?        00:00:00 [kswapd0]
root          45       2  0 15:35 ?        00:00:00 [ecryptfs-kthread]
root          46       2  0 15:35 ?        00:00:00 [kworker/R-kthro]
root          47       2  0 15:35 ?        00:00:00 [kworker/R-acpi_]
root          48       2  0 15:35 ?        00:00:00 [scsi_eh_0]
root          49       2  0 15:35 ?        00:00:00 [kworker/R-scsi_]
root          50       2  0 15:35 ?        00:00:00 [scsi_eh_1]
root          51       2  0 15:35 ?        00:00:00 [kworker/R-scsi_]
root          52       2  0 15:35 ?        00:00:00 [kworker/u2:3-events_power_efficient]
root          54       2  0 15:35 ?        00:00:00 [kworker/u2:5-events_power_efficient]
root          55       2  0 15:35 ?        00:00:00 [kworker/R-mld]
root          56       2  0 15:35 ?        00:00:00 [kworker/R-ipv6_]
root          64       2  0 15:35 ?        00:00:00 [kworker/R-kstrp]
root          66       2  0 15:35 ?        00:00:00 [kworker/u3:0-ttm]
root          79       2  0 15:35 ?        00:00:00 [kworker/R-charg]
root         126       2  0 15:35 ?        00:00:00 [scsi_eh_2]
root         127       2  0 15:35 ?        00:00:00 [kworker/R-scsi_]
root         134       2  0 15:35 ?        00:00:00 [kworker/0:2H-kblockd]
root         174       2  0 15:35 ?        00:00:00 [jbd2/sda2-8]
root         175       2  0 15:35 ?        00:00:00 [kworker/R-ext4-]
root         246       1  0 15:35 ?        00:00:00 /usr/lib/systemd/systemd-journald
root         273       2  0 15:35 ?        00:00:00 [irq/18-vmwgfx]
root         275       2  0 15:35 ?        00:00:00 [kworker/R-ttm]
root         283       2  0 15:35 ?        00:00:00 [kworker/0:4-events]
root         305       1  0 15:35 ?        00:00:00 /usr/lib/systemd/systemd-udevd
systemd+     355       1  0 15:35 ?        00:00:00 /usr/lib/systemd/systemd-oomd
root         356       2  0 15:35 ?        00:00:00 [psimon]
systemd+     360       1  0 15:35 ?        00:00:00 /usr/lib/systemd/systemd-resolved
systemd+     374       1  0 15:35 ?        00:00:00 /usr/lib/systemd/systemd-timesyncd
root         579       2  0 15:35 ?        00:00:00 [kworker/R-crypt]
avahi        800       1  0 15:35 ?        00:00:00 avahi-daemon: running [anshul-shirude-VirtualBox.local]
message+     801       1  0 15:35 ?        00:00:01 @dbus-daemon --system --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
gnome-r+     804       1  0 15:35 ?        00:00:00 /usr/libexec/gnome-remote-desktop-daemon --system
polkitd      814       1  0 15:35 ?        00:00:00 /usr/lib/polkit-1/polkitd --no-debug
root         817       1  0 15:35 ?        00:00:00 /usr/libexec/power-profiles-daemon
root         825       1  0 15:35 ?        00:00:02 /usr/lib/snapd/snapd
root         831       1  0 15:35 ?        00:00:00 /usr/lib/systemd/systemd-logind
root         840       1  0 15:35 ?        00:00:00 /usr/libexec/accounts-daemon
root         841       1  0 15:35 ?        00:00:00 /usr/sbin/cron -f -P
root         842       1  0 15:35 ?        00:00:00 /usr/libexec/switcheroo-control
root         846       1  0 15:35 ?        00:00:00 /usr/libexec/udisks2/udisksd
syslog       854       1  0 15:35 ?        00:00:00 /usr/sbin/rsyslogd -n -iNONE
avahi        873     800  0 15:35 ?        00:00:00 avahi-daemon: chroot helper
root         887       1  0 15:35 ?        00:00:00 /usr/sbin/wpa_supplicant -u -s -O DIR=/run/wpa_supplicant GROUP=netdev
root         946       1  0 15:35 ?        00:00:00 /usr/sbin/ModemManager
root        1071       1  0 15:35 ?        00:00:00 /usr/sbin/cupsd -l
root        1077       1  0 15:35 ?        00:00:00 /usr/bin/python3 /usr/share/unattended-upgrades/unattended-upgrade-shutdown --wait-for-signal
root        1193       1  0 15:35 ?        00:00:00 /usr/sbin/NetworkManager --no-daemon
cups-br+    1303       1  0 15:35 ?        00:00:00 /usr/sbin/cups-browsed
kernoops    1308       1  0 15:35 ?        00:00:00 /usr/sbin/kerneloops --test
kernoops    1311       1  0 15:35 ?        00:00:00 /usr/sbin/kerneloops
root        1393       1  0 15:35 ?        00:00:00 /usr/sbin/gdm3
